Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2874.70886,2012.23643,6204.32812,7339.32729
718.27215,650.01904,1283.05840,1657.39434
3592.98101,2907.36415,6496.39331,7982.46464
0.02218,0.01966,0.02213,0.12606
9.97409,8.50794,13.69458,23.68876
0.02230,0.01600,0.03197,0.20291
26.01383,22.17578,37.75058,109.18035
0.04682,0.03255,0.05281,0.20951
29.90424,30.53888,40.08494,45.46764
0.23969,0.21331,0.39180,0.79057
0.22853,0.12136,0.26794,0.89494